DateTime,Program,Iterations,Resolution,Width,Height,Step,Scheduling,Threads,Time (seconds)
Dec 28 2024 16:03:13,mandelbrot_amd_ext_GUIDED.exe,2000,2000,6000,4000,0.0005,GUIDED,8,5.33458
Dec 28 2024 16:03:26,mandelbrot_amd_ext_GUIDED.exe,4000,2000,6000,4000,0.0005,GUIDED,8,10.5098
Dec 28 2024 16:03:39,mandelbrot_amd_ext_GUIDED.exe,1000,4000,12000,8000,0.00025,GUIDED,8,10.8294
Dec 28 2024 16:04:12,mandelbrot_amd_ext_GUIDED.exe,2000,4000,12000,8000,0.00025,GUIDED,8,21.2636
Dec 28 2024 16:05:08,mandelbrot_amd_ext_GUIDED.exe,4000,4000,12000,8000,0.00025,GUIDED,8,42.1265
Dec 28 2024 16:06:03,mandelbrot_amd_ext_GUIDED.exe,1000,8000,24000,16000,0.000125,GUIDED,8,43.2122
Dec 28 2024 16:08:10,mandelbrot_amd_ext_GUIDED.exe,2000,8000,24000,16000,0.000125,GUIDED,8,85
Dec 28 2024 16:11:46,mandelbrot_amd_ext_GUIDED.exe,4000,8000,24000,16000,0.000125,GUIDED,8,168.735
Dec 28 2024 16:12:20,mandelbrot_amd_ext_GUIDED.exe,1000,1000,3000,2000,0.001,GUIDED,16,0.497077
Dec 28 2024 16:12:22,mandelbrot_amd_ext_GUIDED.exe,2000,1000,3000,2000,0.001,GUIDED,16,0.887323
Dec 28 2024 16:12:24,mandelbrot_amd_ext_GUIDED.exe,4000,1000,3000,2000,0.001,GUIDED,16,1.72819
Dec 28 2024 16:12:27,mandelbrot_amd_ext_GUIDED.exe,1000,2000,6000,4000,0.0005,GUIDED,16,1.76444
Dec 28 2024 16:12:35,mandelbrot_amd_ext_GUIDED.exe,2000,2000,6000,4000,0.0005,GUIDED,16,3.40475
Dec 28 2024 16:12:44,mandelbrot_amd_ext_GUIDED.exe,4000,2000,6000,4000,0.0005,GUIDED,16,6.65247
Dec 28 2024 16:12:53,mandelbrot_amd_ext_GUIDED.exe,1000,4000,12000,8000,0.00025,GUIDED,16,6.81844
Dec 28 2024 16:13:18,mandelbrot_amd_ext_GUIDED.exe,2000,4000,12000,8000,0.00025,GUIDED,16,13.3571
Dec 28 2024 16:13:55,mandelbrot_amd_ext_GUIDED.exe,4000,4000,12000,8000,0.00025,GUIDED,16,26.2234
Dec 28 2024 16:14:34,mandelbrot_amd_ext_GUIDED.exe,1000,8000,24000,16000,0.000125,GUIDED,16,27.0535
Dec 28 2024 16:16:06,mandelbrot_amd_ext_GUIDED.exe,2000,8000,24000,16000,0.000125,GUIDED,16,54.0098
Dec 28 2024 16:18:33,mandelbrot_amd_ext_GUIDED.exe,4000,8000,24000,16000,0.000125,GUIDED,16,105.125
Dec 28 2024 16:19:08,mandelbrot_amd_ext_RUNTIME.exe,1000,1000,3000,2000,0.001,RUNTIME,2,2.13383
Dec 28 2024 16:19:13,mandelbrot_amd_ext_RUNTIME.exe,2000,1000,3000,2000,0.001,RUNTIME,2,4.04941
Dec 28 2024 16:19:22,mandelbrot_amd_ext_RUNTIME.exe,4000,1000,3000,2000,0.001,RUNTIME,2,8.19427
Dec 28 2024 16:19:31,mandelbrot_amd_ext_RUNTIME.exe,1000,2000,6000,4000,0.0005,RUNTIME,2,8.49564
Dec 28 2024 16:19:53,mandelbrot_amd_ext_RUNTIME.exe,2000,2000,6000,4000,0.0005,RUNTIME,2,16.7634
Dec 28 2024 16:20:31,mandelbrot_amd_ext_RUNTIME.exe,4000,2000,6000,4000,0.0005,RUNTIME,2,33.5309
Dec 28 2024 16:21:10,mandelbrot_amd_ext_RUNTIME.exe,1000,4000,12000,8000,0.00025,RUNTIME,2,33.662
Dec 28 2024 16:22:35,mandelbrot_amd_ext_RUNTIME.exe,2000,4000,12000,8000,0.00025,RUNTIME,2,66.6292
Dec 28 2024 16:25:06,mandelbrot_amd_ext_RUNTIME.exe,4000,4000,12000,8000,0.00025,RUNTIME,2,131.396
Dec 28 2024 16:27:41,mandelbrot_amd_ext_RUNTIME.exe,1000,8000,24000,16000,0.000125,RUNTIME,2,133.96
Dec 28 2024 16:33:05,mandelbrot_amd_ext_RUNTIME.exe,2000,8000,24000,16000,0.000125,RUNTIME,2,264.764
Dec 28 2024 16:43:17,mandelbrot_amd_ext_RUNTIME.exe,4000,8000,24000,16000,0.000125,RUNTIME,2,531.994
Dec 28 2024 16:43:54,mandelbrot_amd_ext_RUNTIME.exe,1000,1000,3000,2000,0.001,RUNTIME,4,1.72287
Dec 28 2024 16:43:58,mandelbrot_amd_ext_RUNTIME.exe,2000,1000,3000,2000,0.001,RUNTIME,4,3.55697
Dec 28 2024 16:44:06,mandelbrot_amd_ext_RUNTIME.exe,4000,1000,3000,2000,0.001,RUNTIME,4,6.99567
Dec 28 2024 16:44:17,mandelbrot_amd_ext_RUNTIME.exe,1000,2000,6000,4000,0.0005,RUNTIME,4,7.07653
Dec 28 2024 16:44:33,mandelbrot_amd_ext_RUNTIME.exe,2000,2000,6000,4000,0.0005,RUNTIME,4,14.254
Dec 28 2024 16:45:07,mandelbrot_amd_ext_RUNTIME.exe,4000,2000,6000,4000,0.0005,RUNTIME,4,28.216
Dec 28 2024 16:45:40,mandelbrot_amd_ext_RUNTIME.exe,1000,4000,12000,8000,0.00025,RUNTIME,4,28.5117
Dec 28 2024 16:46:51,mandelbrot_amd_ext_RUNTIME.exe,2000,4000,12000,8000,0.00025,RUNTIME,4,56.4094
Dec 28 2024 16:49:04,mandelbrot_amd_ext_RUNTIME.exe,4000,4000,12000,8000,0.00025,RUNTIME,4,113.111
Dec 28 2024 16:51:19,mandelbrot_amd_ext_RUNTIME.exe,1000,8000,24000,16000,0.000125,RUNTIME,4,114.801
Dec 28 2024 16:56:00,mandelbrot_amd_ext_RUNTIME.exe,2000,8000,24000,16000,0.000125,RUNTIME,4,227.191
Dec 28 2024 17:04:49,mandelbrot_amd_ext_RUNTIME.exe,4000,8000,24000,16000,0.000125,RUNTIME,4,453.303
Dec 28 2024 17:05:23,mandelbrot_amd_ext_RUNTIME.exe,1000,1000,3000,2000,0.001,RUNTIME,8,1.12425
Dec 28 2024 17:05:26,mandelbrot_amd_ext_RUNTIME.exe,2000,1000,3000,2000,0.001,RUNTIME,8,2.25344
Dec 28 2024 17:05:31,mandelbrot_amd_ext_RUNTIME.exe,4000,1000,3000,2000,0.001,RUNTIME,8,4.63254
Dec 28 2024 17:05:36,mandelbrot_amd_ext_RUNTIME.exe,1000,2000,6000,4000,0.0005,RUNTIME,8,4.70692
Dec 28 2024 17:05:48,mandelbrot_amd_ext_RUNTIME.exe,2000,2000,6000,4000,0.0005,RUNTIME,8,9.33886
Dec 28 2024 17:06:11,mandelbrot_amd_ext_RUNTIME.exe,4000,2000,6000,4000,0.0005,RUNTIME,8,18.4264
Dec 28 2024 17:06:35,mandelbrot_amd_ext_RUNTIME.exe,1000,4000,12000,8000,0.00025,RUNTIME,8,18.6971
Dec 28 2024 17:07:23,mandelbrot_amd_ext_RUNTIME.exe,2000,4000,12000,8000,0.00025,RUNTIME,8,37.0047
Dec 28 2024 17:08:54,mandelbrot_amd_ext_RUNTIME.exe,4000,4000,12000,8000,0.00025,RUNTIME,8,73.8015
Dec 28 2024 17:10:24,mandelbrot_amd_ext_RUNTIME.exe,1000,8000,24000,16000,0.000125,RUNTIME,8,74.7475
Dec 28 2024 17:13:42,mandelbrot_amd_ext_RUNTIME.exe,2000,8000,24000,16000,0.000125,RUNTIME,8,147.932
Dec 28 2024 17:19:37,mandelbrot_amd_ext_RUNTIME.exe,4000,8000,24000,16000,0.000125,RUNTIME,8,294.856
Dec 28 2024 17:20:11,mandelbrot_amd_ext_RUNTIME.exe,1000,1000,3000,2000,0.001,RUNTIME,16,0.735886
Dec 28 2024 17:20:13,mandelbrot_amd_ext_RUNTIME.exe,2000,1000,3000,2000,0.001,RUNTIME,16,1.28878
Dec 28 2024 17:20:16,mandelbrot_amd_ext_RUNTIME.exe,4000,1000,3000,2000,0.001,RUNTIME,16,2.68713
Dec 28 2024 17:20:19,mandelbrot_amd_ext_RUNTIME.exe,1000,2000,6000,4000,0.0005,RUNTIME,16,2.66684
Dec 28 2024 17:20:27,mandelbrot_amd_ext_RUNTIME.exe,2000,2000,6000,4000,0.0005,RUNTIME,16,5.46897
Dec 28 2024 17:20:43,mandelbrot_amd_ext_RUNTIME.exe,4000,2000,6000,4000,0.0005,RUNTIME,16,10.8341
Dec 28 2024 17:20:56,mandelbrot_amd_ext_RUNTIME.exe,1000,4000,12000,8000,0.00025,RUNTIME,16,10.7591
Dec 28 2024 17:21:29,mandelbrot_amd_ext_RUNTIME.exe,2000,4000,12000,8000,0.00025,RUNTIME,16,21.61
Dec 28 2024 17:22:26,mandelbrot_amd_ext_RUNTIME.exe,4000,4000,12000,8000,0.00025,RUNTIME,16,42.9645
